gene,mean_expression
LYPD3,1.6728895769411365
DSTN,1.6701395659651976
DSC3,1.6642729552178983
OAZ1,1.6629430975345587
EIF4G2,1.6626641906255129
MYL12B,1.6594685378256222
PRDX1,1.6577604937040253
FTH1,1.6565973309195594
HSP90AA1,1.655133022081773
SERF2,1.6507289711608002
TRIM29,1.649962567138356
IFITM3,1.6458298773658986
EEF1B2,1.6457192153725404
HLA.DRA,1.6377564572685996
COL17A1,1.6325758445933956
HLA.E,1.6192308145248338
ARPC2,1.617921894847952
EIF5A,1.6167090661478358
ATP1B3,1.6144354611832574
RHOA,1.5757189930866886
CD59,1.5725568603008788
HNRNPA2B1,1.5705555669519284
CTSD,1.5658894743252274
FGFBP1,1.5582251008970058
CD24,1.557966415011725
DSG3,1.5480571201206832
YWHAQ,1.5476620904854592
RPS26,1.5474786479149434
DSG1,1.545376291436865
PPDPF,1.5257569034367997
HNRNPK,1.5170237308503776
CAP1,1.5080089888331907
TUBB,1.502618236306882
PGK1,1.4971834592866582
YWHAB,1.492257207730748
NPM1,1.4905546450654403
DDX5,1.4861402422288397
S100A4,1.4848567175845437
PPP1CA,1.4847216838045625
LUM,1.4775056601409486
ATP1A1,1.4662136818399492
SERPINB1,1.4644853683891674
TIMP1,1.4590337098582296
COL6A3,1.4580906482277722
RPL36A,1.4580492416754465
C1R,1.4565703924128552
DBI,1.4487439535114148
SERBP1,1.4414840754096871
HSP90AB1,1.4400287586332157
TMBIM6,1.4398523181282132
SLC25A6,1.4383636608423775
ACTN1,1.4275210373942426
PTRF,1.42539676880797
LAPTM4A,1.421752930180916
COX4I1,1.4205465558546269
TUBB2A,1.4180492662041393
GNAI2,1.417572874255133
MT2A,1.4175598573507062
CD81,1.4170814953892437
LAD1,1.4155906457083904
NDRG1,1.4019522005753802
RBM3,1.3801243351587396
H3F3A,1.3659951476663943
FXYD3,1.3654511551193844
TPM4,1.3645997159923149
S100A7A,1.3622010481475995
YWHAE,1.3610141075999531
PFDN5,1.3606665584425264
CLCA2,1.3568311265564912
TSPO,1.3560696082399382
HLA.C,1.3537232213659791
CNBP,1.3525072189652367
RTN4,1.3520955689103398
CHCHD2,1.3517621419090309
RNASE1,1.350959566378633
RPN2,1.3504311830200106
CDC42,1.3492354485175468
MARCKS,1.345930066428437
APP,1.3412236351248443
HSPA5,1.3408819420250835
SSR4,1.3397653468495963
ATP5B,1.3384004297438046
ATP5A1,1.3285404933702867
RAC1,1.3210223077346157
SLC38A2,1.3205317016567615
SEC61G,1.3156041691437463
UQCRQ,1.3139813336118167
ZFP36L1,1.3122199488594042
COX6B1,1.3095785411975243
RAN,1.3078473481713542
RPL35,1.3072987817079815
EDF1,1.3070240678968807
CD99,1.3058798400475489
CALML3,1.299214350910771
CTSC,1.2920838110395614
SPINK5,1.289936716316749
SAT1,1.2898244882458882
YBX3,1.2879329319821289
VCP,1.2852301586246648
NDUFS5,1.2827706451447594
FSCN1,1.280887787310493
PTBP1,1.27936682371509
TPM3,1.2783740325676685
PEBP1,1.2777210161188581
LAMP1,1.2760120639145769
YBX1,1.275858611707261
WDR1,1.2679675094141865
IGFBP7,1.257516683578886
COL4A2,1.2544796727351006
PLP2,1.2487300934381043
CSDE1,1.24791619181633
PSMB7,1.243952345769137
RPL36AL,1.2431066719112018
HNRNPH1,1.2399912963047723
HINT1,1.235469222266153
CALM2,1.2330393149758017
SPINT2,1.228578147163849
CLIC1,1.2270494973323993
