gene,variance
HTRA3,0.46989856931176416
LMAN2,0.46974668459784996
DDB1,0.4695542801696432
ATP5C1,0.4692736761095183
COX5B,0.4692730299852037
ITGAV,0.4690826907752002
RPL8,0.46904882469451364
NDUFB2,0.46901630693982993
NDUFA10,0.4688957598872885
NDUFC1,0.46882295943063057
TXNL4A,0.4686637839189183
RAB25,0.46842689678080623
MAP4,0.468384522239033
DAZAP1,0.4680026876589751
KARS,0.4678815368679386
SSR3,0.46714431901139497
SRGN,0.4670998694153997
C8orf59,0.4669408498594028
SRP14,0.46686136222503033
AKR1C2,0.46649372965225927
RPL13A,0.4664874714579902
PTMS,0.4664873243361347
IGFL1,0.46646029948979006
PRRC2C,0.46576971158659497
MT1E,0.4656483169795735
PPA1,0.4653109574461095
PSMD11,0.4651366068640062
PRDX4,0.4650766870533908
CENPB,0.46433117967759935
LCP1,0.4642186502331706
MTCH1,0.46399578596060226
PDPN,0.4638187613991958
SAR1A,0.4637529197092509
ADGRG1,0.4635276560080314
MRC2,0.46316245039614207
SF3B1,0.46300970893427973
COL12A1,0.46287432238790527
UBE2M,0.4621576534935541
PSMB8,0.4621183670570731
VCL,0.46146502946447554
PRKAR1A,0.4614183886899571
RNF187,0.46126706549674584
PEA15,0.4611944082325366
EEF2,0.46106684984558294
SNRPB,0.4610381483374581
GAS6,0.46081347470717504
XRCC6,0.46065966112666673
ETF1,0.4605371745941835
CLTB,0.45975418568389054
TOLLIP,0.45954953089472345
TRAM1,0.4595065843008783
PTTG1IP,0.45944915184991436
MTDH,0.4593900849674813
RPL22L1,0.45874660309134496
PPP1R14B,0.45821387125384366
MAPK6,0.45751175965886265
RPL12,0.45718409266002896
MCAM,0.45710776458396324
SLC2A4RG,0.4565272529059681
RPL39,0.4564845389342213
QSOX1,0.45586802963477213
PDLIM1,0.45568529078365266
HMGN1,0.45565818247077694
LSM4,0.4552747496397008
TMEM54,0.45491837207596575
OST4,0.45487978254865
EMP2,0.4546357220516096
EIF3CL,0.4538325952687402
PSMB2,0.45367481739073584
MGP,0.4534598779934791
PPIB,0.45329822933792696
LAP3,0.45306985626518376
BAG1,0.4528634684269531
LIMA1,0.4523018230850088
MRPL52,0.45224582173088984
TMED3,0.45218019449447805
KRT17,0.452153328463001
PSMC1,0.45213670129020034
SOD1,0.4519675595591385
RNF145,0.4515905879580235
SPTSSA,0.4509320582881405
SARAF,0.45067129440284526
LAMB2,0.45066977100475225
EPN1,0.45026795419135457
FUS,0.45000669219875766
ECHS1,0.44901102512404045
UGP2,0.4484315413165429
