gene,variance
TUBB4B,0.6663133621064823
ATP1B3,0.664546311136521
CAP1,0.6641029462916666
TUBB6,0.6634895273817584
PRNP,0.6627821259251873
RPS7,0.6625177501272228
H2AFZ,0.662248194792961
SLC25A6,0.6615891479775706
PPP1CA,0.6615072328025061
CST3,0.6614135014033382
SERPINB13,0.6609751295145995
RAC1,0.6604625595033103
HSP90AB1,0.659870781338603
CNBP,0.6589854612169335
ARHGDIB,0.6581681646280948
EIF1,0.6581627037659098
KLK10,0.6557513417355681
MYH9,0.6548998340961576
RHOA,0.6538709682986775
HSP90AA1,0.6533211786661149
SLC7A5,0.6515635084992353
PIP,0.651489196925811
RPS21,0.6511696052247437
MAL2,0.6508399316437595
S100A6,0.6507245717497571
GNAI2,0.6495968013025778
MMP14,0.6490613303285344
CD59,0.6486200211075825
CTSC,0.6484011468419151
AQP1,0.6483948233623084
RPL10A,0.6473880278580934
SAT1,0.6470299804521453
SERPINH1,0.6446539781098712
NCL,0.6441333692967693
AHNAK2,0.6437407033515062
WDR1,0.6436456728596106
MARCKS,0.6434933563796568
FKBP1A,0.643489268363675
ARPC1B,0.6434760900660201
PLP2,0.6433686861395703
C14orf2,0.643272364241615
GRN,0.64239993604352
YBX3,0.642377274207519
TPM3,0.6419400503209348
LDHA,0.6419338726210797
PSMB7,0.6415929584840828
COX6B1,0.6415850863097257
UQCRQ,0.6411774674366537
SH3BGRL3,0.640684491265507
SPRR1B,0.6396506073894088
ATP5A1,0.6389254206213623
TSPO,0.6387212267320982
TPI1,0.6387171033082837
CALM2,0.6381159050447608
PSME2,0.6379623829386918
EEF1B2,0.6371887645587426
NDUFS6,0.6370606457125256
HNRNPK,0.6370499692103024
LGALS7B,0.6367208085965494
RPS13,0.636143388678616
PRELID1,0.635853696351967
RPS5,0.6352919341643684
COX7C,0.6330111945704104
YBX1,0.6327725716594366
PSMA7,0.6315698326796139
A2ML1,0.6314150481649644
MAFB,0.6305744829601345
RPS16,0.6302118607980677
UQCRC1,0.6296832843467632
LAMP1,0.6294672719556037
TMBIM6,0.6288839293719689
YWHAE,0.6285397275784278
STAT1,0.6282281553999214
KLK11,0.6281454443109836
NDUFS5,0.6280512858481718
SERPINB4,0.6256947665538661
MAF,0.6250633902523587
JUP,0.6248803261853083
RBM3,0.6242740349024705
GUK1,0.6241991777717952
RPL5,0.623267703867986
CLIC1,0.6228938186646593
EZR,0.622633873787426
CTGF,0.6224912314594125
SERF2,0.6219623658186154
RPS10,0.6218845399844297
NDUFA4,0.621352226200973
TIMM13,0.6207943280394486
ZFP36L2,0.6207161465234005
CD248,0.6206117648702165
RPL18,0.6205741882102251
SLC25A5,0.6200534848299205
MSN,0.6193353193817339
GJB2,0.6187952393511785
CAPNS1,0.6184385606280298
APRT,0.6182292282852442
ZFP36L1,0.6176301694886802
HSPA5,0.6176217264769864
DDX5,0.6174579403833488
CD81,0.6173258584920155
PPP1CB,0.616376231072034
RPL35,0.6163463071546152
HNRNPH1,0.616276496085283
ELL2,0.6159916349750727
PEBP1,0.6158334543696206
CDC42,0.615494541983918
LAMC2,0.6154218925823811
ATP5L,0.6150635812158965
RPS15,0.614827125675924
CAPN2,0.6142535471621521
THBS1,0.6138778622176678
PPIA,0.6130615011373725
EDF1,0.6130432355147059
ACTR2,0.6126911723525825
CSDE1,0.6124010554083588
TMSB4X,0.6117823636443986
VCP,0.6111614579876401
RPL36AL,0.6110609234137299
PTBP1,0.6108630736887002
ELOVL1,0.6106045258807183
PSMB4,0.6105749024873294
COX6C,0.6102425803392059
CD93,0.609671049974602
SNRPD2,0.6091686015447799
CALD1,0.6091580991843678
BTG1,0.6091469318198336
HNRNPA3,0.6085827043918626
TCEB2,0.6083506482021371
